epoch,phase,acc
1,train,28.0766
1,dev,26.9097
2,train,33.4423
2,dev,31.4815
3,train,35.7316
3,dev,36.4583
4,train,37.3668
4,dev,35.9954
5,train,39.0625
5,dev,31.7708
6,train,39.8740
6,dev,37.4421
7,train,40.3706
7,dev,34.7222
8,train,40.4918
8,dev,35.1852
9,train,40.7582
9,dev,37.8472
10,train,41.6667
10,dev,39.6412
11,train,41.0489
11,dev,38.5995
12,train,42.1633
12,dev,35.6481
13,train,42.4419
13,dev,35.7060
14,train,42.4903
14,dev,38.8310
15,train,44.0165
15,dev,39.1204
16,train,45.8212
16,dev,37.6157
17,train,46.2936
17,dev,37.9051
18,train,45.1550
18,dev,37.1528
19,train,46.1361
19,dev,39.9306
20,train,51.5746
20,dev,39.5833
