epoch,phase,loss
1,train,0.1721
1,dev,3.0855
2,train,0.1849
2,dev,2.9857
3,train,0.2066
3,dev,2.8933
4,train,0.2369
4,dev,2.8622
5,train,0.2650
5,dev,2.8174
6,train,0.3016
6,dev,2.7343
7,train,0.3375
7,dev,2.7417
8,train,0.3842
8,dev,2.7237
9,train,0.4269
9,dev,2.6789
10,train,0.4638
10,dev,2.6220
11,train,0.5201
11,dev,2.6780
12,train,0.5671
12,dev,2.6427
13,train,0.6114
13,dev,2.6297
14,train,0.6723
14,dev,2.5768
15,train,0.7062
15,dev,2.5493
16,train,0.7425
16,dev,2.5890
17,train,0.7968
17,dev,2.5974
18,train,0.8703
18,dev,2.6025
19,train,0.9226
19,dev,2.5545
20,train,0.8821
20,dev,2.5589
