epoch,phase,acc
1,train,82.9942
1,dev,35.0694
2,train,88.1783
2,dev,34.6065
3,train,89.2200
3,dev,34.6065
4,train,90.7946
4,dev,34.8958
5,train,90.7582
5,dev,34.5486
6,train,90.8067
6,dev,34.4329
7,train,90.7825
7,dev,34.6644
8,train,90.6613
8,dev,34.8380
9,train,90.6613
9,dev,34.5486
10,train,90.6977
10,dev,34.5486
11,train,90.6492
11,dev,34.5486
12,train,90.6492
12,dev,34.5486
13,train,90.6250
13,dev,34.9537
14,train,90.6613
14,dev,35.0116
15,train,90.6492
15,dev,34.6065
16,train,90.7340
16,dev,35.0694
17,train,90.6734
17,dev,34.3171
18,train,90.6371
18,dev,34.6644
19,train,90.6613
19,dev,34.7222
20,train,90.7098
20,dev,34.6065
