epoch,phase,acc
1,train,26.2839
1,dev,31.2500
2,train,29.8328
2,dev,24.5370
3,train,31.3711
3,dev,33.5648
4,train,34.3266
4,dev,34.4907
5,train,36.3009
5,dev,37.5579
6,train,37.5727
6,dev,37.5579
7,train,38.1783
7,dev,35.3009
8,train,39.9830
8,dev,38.0787
9,train,40.3706
9,dev,37.2106
10,train,40.4312
10,dev,37.0949
11,train,41.3760
11,dev,38.7153
12,train,42.0179
12,dev,38.5417
13,train,41.7878
13,dev,37.3843
14,train,42.3571
14,dev,37.2106
15,train,42.1269
15,dev,38.4838
16,train,43.7863
16,dev,36.5162
17,train,44.1618
17,dev,36.7477
18,train,45.2398
18,dev,37.7315
19,train,46.0150
19,dev,37.3843
20,train,46.8023
20,dev,36.1690
