epoch,phase,acc
1,train,27.3377
1,dev,28.4722
2,train,30.2447
2,dev,29.0509
3,train,33.2243
3,dev,36.7477
4,train,35.6710
4,dev,37.0370
5,train,36.4947
5,dev,36.8634
6,train,36.9792
6,dev,34.2014
7,train,37.6696
7,dev,34.4329
8,train,38.2994
8,dev,35.2431
9,train,37.4879
9,dev,38.6574
10,train,38.7718
10,dev,35.1273
11,train,38.5659
11,dev,37.7894
12,train,39.5228
12,dev,37.6157
13,train,40.2737
13,dev,34.7801
14,train,40.9278
14,dev,37.7894
15,train,42.2117
15,dev,39.9306
16,train,42.0058
16,dev,38.1944
17,train,43.7016
17,dev,38.5417
18,train,44.1860
18,dev,39.2940
19,train,43.6289
19,dev,36.6898
20,train,45.1550
20,dev,39.1782
