epoch,phase,loss
1,train,0.1227
1,dev,2.7583
2,train,0.1151
2,dev,2.7521
3,train,0.1276
3,dev,2.7971
4,train,0.1205
4,dev,2.7509
5,train,0.1262
5,dev,2.7385
6,train,0.1365
6,dev,2.7383
7,train,0.1470
7,dev,2.7407
8,train,0.1703
8,dev,2.7342
9,train,0.1956
9,dev,2.7300
10,train,0.2234
10,dev,2.7344
11,train,0.2570
11,dev,2.7206
12,train,0.2933
12,dev,2.7381
13,train,0.3338
13,dev,2.7273
14,train,0.3782
14,dev,2.7277
15,train,0.4260
15,dev,2.7282
16,train,0.4781
16,dev,2.7282
17,train,0.5339
17,dev,2.7409
18,train,0.5935
18,dev,2.7369
19,train,0.6575
19,dev,2.7236
20,train,0.7249
20,dev,2.7297
