epoch,phase,acc
1,train,71.5237
1,dev,33.3333
2,train,76.8895
2,dev,33.5648
3,train,77.5557
3,dev,33.8542
4,train,78.7791
4,dev,33.7384
5,train,79.2757
5,dev,33.7963
6,train,79.8086
6,dev,34.0278
7,train,80.0630
7,dev,34.4329
8,train,80.3658
8,dev,33.5069
9,train,80.5596
9,dev,34.0278
10,train,80.9109
10,dev,34.6065
11,train,80.4627
11,dev,34.6065
12,train,81.0441
12,dev,33.9699
13,train,80.9593
13,dev,33.3333
14,train,81.1773
14,dev,33.5069
15,train,81.3832
15,dev,33.9120
16,train,81.4438
16,dev,33.8542
17,train,81.5286
17,dev,33.6806
18,train,81.8435
18,dev,33.9699
19,train,81.9525
19,dev,33.8542
20,train,82.0373
20,dev,33.8542
