epoch,phase,loss
1,train,0.0490
1,dev,2.7675
2,train,0.0514
2,dev,2.7669
3,train,0.0598
3,dev,2.7751
4,train,0.0698
4,dev,2.7781
5,train,0.0815
5,dev,2.7710
6,train,0.0945
6,dev,2.7601
7,train,0.1092
7,dev,2.7583
8,train,0.1256
8,dev,2.7726
9,train,0.1437
9,dev,2.7622
10,train,0.1639
10,dev,2.7579
11,train,0.1863
11,dev,2.7599
12,train,0.2107
12,dev,2.7669
13,train,0.2381
13,dev,2.7793
14,train,0.2677
14,dev,2.7745
15,train,0.3007
15,dev,2.7646
16,train,0.3364
16,dev,2.7622
17,train,0.3745
17,dev,2.7687
18,train,0.4169
18,dev,2.7622
19,train,0.4617
19,dev,2.7615
20,train,0.5095
20,dev,2.7628
