epoch,phase,loss
1,train,0.0500
1,dev,2.7740
2,train,0.0520
2,dev,2.7666
3,train,0.0608
3,dev,2.7797
4,train,0.0714
4,dev,2.7752
5,train,0.0831
5,dev,2.7842
6,train,0.0967
6,dev,2.7833
7,train,0.1120
7,dev,2.7709
8,train,0.1286
8,dev,2.7743
9,train,0.1472
9,dev,2.7757
10,train,0.1679
10,dev,2.7768
11,train,0.1902
11,dev,2.7716
12,train,0.2127
12,dev,2.7700
13,train,0.2452
13,dev,2.7607
14,train,0.2814
14,dev,2.7682
15,train,0.3213
15,dev,2.7676
16,train,0.3641
16,dev,2.7597
17,train,0.4120
17,dev,2.7556
18,train,0.4638
18,dev,2.7641
19,train,0.5194
19,dev,2.7716
20,train,0.5791
20,dev,2.7641
