epoch,phase,loss
1,train,0.1138
1,dev,2.7312
2,train,0.1105
2,dev,2.7576
3,train,0.1215
3,dev,2.7531
4,train,0.1165
4,dev,2.7234
5,train,0.1211
5,dev,2.7307
6,train,0.1312
6,dev,2.7117
7,train,0.1415
7,dev,2.7253
8,train,0.1635
8,dev,2.7202
9,train,0.1877
9,dev,2.7261
10,train,0.2145
10,dev,2.7214
11,train,0.2464
11,dev,2.7164
12,train,0.2816
12,dev,2.7168
13,train,0.3202
13,dev,2.7201
14,train,0.3628
14,dev,2.7139
15,train,0.4091
15,dev,2.7246
16,train,0.4596
16,dev,2.7214
17,train,0.5139
17,dev,2.7140
18,train,0.5723
18,dev,2.7244
19,train,0.6343
19,dev,2.7252
20,train,0.6999
20,dev,2.7227
