epoch,phase,acc
1,train,48.6071
1,dev,36.9213
2,train,52.4830
2,dev,33.6227
3,train,55.3658
3,dev,35.0694
4,train,63.0087
4,dev,35.7639
5,train,66.1216
5,dev,34.4907
6,train,69.0528
6,dev,36.2269
7,train,71.0271
7,dev,35.8796
8,train,71.3542
8,dev,35.5324
9,train,71.4995
9,dev,35.4167
10,train,71.5601
10,dev,35.3588
11,train,71.5601
11,dev,35.7639
12,train,71.4995
12,dev,35.4745
13,train,71.4995
13,dev,35.4745
14,train,71.5601
14,dev,35.7639
15,train,71.5237
15,dev,35.5324
16,train,71.5722
16,dev,35.4745
17,train,71.4995
17,dev,35.4745
18,train,71.5116
18,dev,35.3588
19,train,71.4753
19,dev,35.6481
20,train,71.5237
20,dev,35.4745
