epoch,phase,loss
1,train,0.1107
1,dev,2.7168
2,train,0.1108
2,dev,2.7293
3,train,0.1236
3,dev,2.6921
4,train,0.1227
4,dev,2.6932
5,train,0.1262
5,dev,2.6764
6,train,0.1356
6,dev,2.6757
7,train,0.1460
7,dev,2.6731
8,train,0.1683
8,dev,2.6647
9,train,0.1930
9,dev,2.6562
10,train,0.2207
10,dev,2.6617
11,train,0.2528
11,dev,2.6633
12,train,0.2888
12,dev,2.6517
13,train,0.3283
13,dev,2.6567
14,train,0.3717
14,dev,2.6666
15,train,0.4189
15,dev,2.6569
16,train,0.4700
16,dev,2.6602
17,train,0.5248
17,dev,2.6623
18,train,0.5837
18,dev,2.6520
19,train,0.6461
19,dev,2.6647
20,train,0.7126
20,dev,2.6682
