epoch,phase,loss
1,train,0.0294
1,dev,2.8006
2,train,0.0284
2,dev,2.8143
3,train,0.0327
3,dev,2.8058
4,train,0.0374
4,dev,2.8013
5,train,0.0458
5,dev,2.8177
6,train,0.0560
6,dev,2.8055
7,train,0.0679
7,dev,2.8046
8,train,0.0824
8,dev,2.8004
9,train,0.0989
9,dev,2.8043
10,train,0.1183
10,dev,2.8128
11,train,0.1406
11,dev,2.8036
12,train,0.1662
12,dev,2.7993
13,train,0.1952
13,dev,2.8021
14,train,0.2281
14,dev,2.8022
15,train,0.2648
15,dev,2.8023
16,train,0.3051
16,dev,2.8036
17,train,0.3493
17,dev,2.8056
18,train,0.3973
18,dev,2.8009
19,train,0.4495
19,dev,2.8067
20,train,0.5052
20,dev,2.7998
