epoch,phase,acc
1,train,70.7970
1,dev,36.4583
2,train,76.3445
2,dev,36.5741
3,train,77.5315
3,dev,36.2847
4,train,78.3551
4,dev,35.4745
5,train,79.2393
5,dev,35.7639
6,train,79.7481
6,dev,35.8218
7,train,80.3779
7,dev,35.9954
8,train,80.4142
8,dev,35.5324
9,train,80.4506
9,dev,35.9954
10,train,80.7413
10,dev,35.7639
11,train,80.9714
11,dev,35.4745
12,train,81.1531
12,dev,35.9375
13,train,81.1168
13,dev,36.1690
14,train,81.2742
14,dev,35.9954
15,train,81.6376
15,dev,35.8796
16,train,81.8314
16,dev,35.8218
17,train,82.0131
17,dev,35.8218
18,train,82.0615
18,dev,35.4745
19,train,82.2190
19,dev,35.8218
20,train,82.2917
20,dev,36.7477
